beta_1_stgnf,beta_2_mulde,micro_auc
0.0,1.0,0.7968486864211766
0.001,0.999,0.79706882905934
0.002,0.998,0.7972953410758441
0.003,0.997,0.7975223622490648
0.004,0.996,0.7977489480563975
0.005,0.995,0.7979753985805449
0.006,0.994,0.798201803600348
0.007,0.993,0.7984289059434797
0.008,0.992,0.7986553749153342
0.009,0.991,0.7988807714604822
0.01,0.99,0.7991084186258972
0.011,0.989,0.7993344128767554
0.012,0.988,0.7995601919043638
0.013,0.987,0.7997857950638314
0.014,0.986,0.8000126280704396
0.015,0.985,0.8002400464842865
0.016,0.984,0.8004660776305588
0.017,0.983,0.8006930053353967
0.018,0.982,0.8009190610786118
0.019,0.981,0.8011446949842578
0.02,0.98,0.8013712869408263
0.021,0.979,0.801597600951941
0.022,0.978,0.8018230639088344
0.023,0.977,0.8020517871904976
0.024,0.976,0.8022771997236584
0.025,0.975,0.8025047989250348
0.026,0.974,0.8027320328618108
0.027,0.973,0.8029596419019644
0.028,0.972,0.8031861822049531
0.029,0.971,0.8034136166068129
0.03,0.97,0.803640108945763
0.031,0.969,0.8038668841495555
0.032,0.968,0.8040942632082939
0.033,0.967,0.8043205882880329
0.034,0.966,0.8045484482170033
0.035,0.965,0.8047752062029356
0.036,0.964,0.8050009594037544
0.037,0.963,0.8052267322821272
0.038,0.962,0.8054545442470591
0.039,0.961,0.8056796862138489
0.04,0.96,0.8059074096297867
0.041,0.959,0.8061337888228
0.042,0.958,0.8063603721704383
0.043,0.957,0.806587489271736
0.044,0.956,0.8068120987147138
0.045,0.955,0.8070380818969477
0.046,0.954,0.8072638609245563
0.047,0.953,0.8074902573354293
0.048,0.952,0.8077143158068883
0.049,0.951,0.8079397750742403
0.05,0.95,0.8081669007844678
0.051,0.949,0.8083942109717666
0.052,0.948,0.8086189188025155
0.053,0.947,0.8088441050438024
0.054,0.946,0.8090696983644926
0.055,0.945,0.8092973762760863
0.056,0.944,0.809522552678596
0.057,0.943,0.8097469210715342
0.058,0.942,0.8099728526001883
0.059,0.9410000000000001,0.8101986808216826
0.06,0.94,0.8104250919907213
0.061,0.9390000000000001,0.8106523234678029
0.062,0.938,0.8108792487129466
0.063,0.937,0.8111056008493226
0.064,0.9359999999999999,0.8113313442113641
0.065,0.935,0.8115565796465365
0.066,0.9339999999999999,0.8117828702905556
0.067,0.933,0.8120093232743972
0.068,0.9319999999999999,0.8122346029840667
0.069,0.931,0.8124605529604277
0.07,0.9299999999999999,0.8126873748984115
0.071,0.929,0.8129140566338213
0.072,0.928,0.8131389575505715
0.073,0.927,0.8133660242281362
0.074,0.926,0.8135918918047389
0.075,0.925,0.813817210869517
0.076,0.924,0.8140441115177177
0.077,0.923,0.814270439057151
0.078,0.922,0.8144971281716435
0.079,0.921,0.8147238664800217
0.08,0.92,0.8149509503754465
0.081,0.919,0.8151769249487504
0.082,0.918,0.8154040887842393
0.083,0.917,0.8156305995708966
0.084,0.916,0.8158575002190972
0.085,0.915,0.8160821539365722
0.086,0.914,0.8163075443324843
0.087,0.913,0.81653258053242
0.088,0.912,0.816759000310389
0.089,0.911,0.8169849121614886
0.09,0.91,0.8172115717596498
0.091,0.909,0.8174376988339991
0.092,0.908,0.8176652008774516
0.093,0.907,0.8178916526314461
0.094,0.906,0.8181191522152043
0.095,0.905,0.8183456912883458
0.096,0.904,0.8185718195925423
0.097,0.903,0.8187974178326212
0.098,0.902,0.8190235190801807
0.099,0.901,0.8192489832669212
0.1,0.9,0.8194745876562357
0.101,0.899,0.819701308746754
0.102,0.898,0.819927792476774
0.103,0.897,0.8201518115931246
0.104,0.896,0.820376251317197
0.105,0.895,0.8206001117832662
0.106,0.894,0.8208260027269647
0.107,0.893,0.8210526500266544
0.108,0.892,0.8212785901642385
0.109,0.891,0.8215043827201656
0.11,0.89,0.8217297190028034
0.111,0.889,0.8219564560813346
0.112,0.888,0.8221821527091848
0.113,0.887,0.8224060881959296
0.114,0.886,0.8226315732900715
0.115,0.885,0.8228562417657121
0.116,0.884,0.8230798464235761
0.117,0.883,0.82330588125939
0.118,0.882,0.8235312999417864
0.119,0.881,0.8237575881261112
0.12,0.88,0.823982038918808
0.121,0.879,0.8242055193621108
0.122,0.878,0.8244297758389593
0.123,0.877,0.8246525085352008
0.124,0.876,0.8248773245924981
0.125,0.875,0.8250998752713629
0.126,0.874,0.8253235844662337
0.127,0.873,0.825546387263762
0.128,0.872,0.8257688666114924
0.129,0.871,0.8259928340742629
0.13,0.87,0.8262166724030836
0.131,0.869,0.8264408796860465
0.132,0.868,0.8266642740400496
0.133,0.867,0.82688595767668
0.134,0.866,0.8271092081385676
0.135,0.865,0.8273323602126837
0.136,0.864,0.8275532555172972
0.137,0.863,0.8277773115290619
0.138,0.862,0.8279997343038237
0.139,0.861,0.8282215901190538
0.14,0.86,0.8284428728255164
0.141,0.859,0.8286649684609391
0.142,0.858,0.8288880430546854
0.143,0.857,0.8291115616232496
0.144,0.856,0.8293340950842544
0.145,0.855,0.8295559373711657
0.146,0.854,0.8297794817665199
0.147,0.853,0.8300011346569719
0.148,0.852,0.830222107441955
0.149,0.851,0.8304423472380424
0.15,0.85,0.8306626497563341
0.151,0.849,0.8308829928595812
0.152,0.848,0.8311036766304865
0.153,0.847,0.8313241599363077
0.154,0.846,0.8315440553751957
0.155,0.845,0.8317641930939705
0.156,0.844,0.8319811418191098
0.157,0.843,0.8321992392214782
0.158,0.842,0.8324203116240798
0.159,0.841,0.8326385738259653
0.16,0.84,0.8328571004449856
0.161,0.839,0.8330750453463089
0.162,0.838,0.8332921219755507
0.163,0.837,0.8335116201738124
0.164,0.836,0.8337315918632231
0.165,0.835,0.8339490534346199
0.166,0.834,0.834166106696766
0.167,0.833,0.8343833960895632
0.168,0.832,0.8346005907841306
0.169,0.831,0.8348184040918099
0.17,0.83,0.8350352347516234
0.171,0.829,0.8352519141402388
0.172,0.8280000000000001,0.8354698307550777
0.173,0.827,0.8356882306998428
0.174,0.8260000000000001,0.8359035523372149
0.175,0.825,0.83612044694908
0.176,0.8240000000000001,0.8363361363107473
0.177,0.823,0.8365534650586529
0.178,0.8220000000000001,0.8367714148793646
0.179,0.821,0.8369881901960571
0.18,0.8200000000000001,0.8372041525837894
0.181,0.819,0.8374187781276802
0.182,0.8180000000000001,0.8376361572993186
0.183,0.817,0.8378526989450544
0.184,0.8160000000000001,0.8380688950037435
0.185,0.815,0.8382837468395081
